,,,,,,,,,,const,CRIM,ZN,CHAS,NOX,,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,,,,,,
,,,,,,,,,,36.3411,-0.1084,0.0458,2.7187,-17.376,,3.8016,-1.4927,0.2996,-0.0118,-0.9465,0.0093,-0.5226,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,price,const,,,,,,,,,,,,price_est,SST
0,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24,36.3411,-0.000685088,0.8244,0,-9.348288,24.99552,-6.105143,0.2996,-3.4928,-14.48145,3.69117,-2.602548,30.12087591,
1,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,36.3411,-0.002960404,0,0,-8.149344,24.4100736,-7.41439017,0.5992,-2.8556,-16.8477,3.69117,-4.776564,24.99498503,
2,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,36.3411,-0.002958236,0,0,-8.149344,27.314496,-7.41439017,0.5992,-2.8556,-16.8477,3.653319,-2.106078,30.53204459,
3,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,36.3411,-0.003508908,0,0,-7.958208,26.6035968,-9.04904594,0.8988,-2.6196,-17.69955,3.670059,-1.536444,28.64719895,
4,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,36.3411,-0.00748502,0,0,-7.958208,27.1700352,-9.04904594,0.8988,-2.6196,-17.69955,3.69117,-2.785458,27.98175824,
5,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,36.3411,-0.00323574,0,0,-7.958208,24.444288,-9.04904594,0.8988,-2.6196,-17.69955,3.665316,-2.722746,25.29711832,
6,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,36.3411,-0.009570636,0.5725,0,-9.105024,22.8552192,-8.30015835,1.498,-3.6698,-14.3868,3.67908,-6.495918,22.97862821,
7,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,36.3411,-0.01566922,0.5725,0,-9.105024,23.4634752,-8.88231135,1.498,-3.6698,-14.3868,3.69117,-10.00779,19.49885063,
8,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.5,36.3411,-0.022898416,0.5725,0,-9.105024,21.4068096,-9.07875067,1.498,-3.6698,-14.3868,3.595659,-15.641418,11.50937751,
9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,36.3411,-0.018432336,0.5725,0,-9.105024,22.8248064,-9.84002767,1.498,-3.6698,-14.3868,3.596403,-8.93646,18.87626539,
10,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15,36.3411,-0.024378076,0.5725,0,-9.105024,24.2428032,-9.47371909,1.498,-3.6698,-14.3868,3.650436,-10.68717,18.95794803,
11,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9,36.3411,-0.012733748,0.5725,0,-9.105024,22.8438144,-9.29459509,1.498,-3.6698,-14.3868,3.69117,-6.934902,21.54272956,
12,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,21.7,36.3411,-0.010165752,0.5725,0,-9.105024,22.3876224,-8.13655843,1.498,-3.6698,-14.3868,3.63165,-8.210046,20.91247822,
13,0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,20.4,36.3411,-0.068265984,0,0,-9.348288,22.6157184,-7.02688525,1.1984,-3.6226,-19.8765,3.69117,-4.316676,19.58717317,
14,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2,36.3411,-0.069154864,0,0,-9.348288,23.1745536,-6.66027813,1.1984,-3.6226,-19.8765,3.534186,-5.361876,19.30954261,
15,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,19.9,36.3411,-0.068009076,0,0,-9.348288,22.1785344,-6.71506022,1.1984,-3.6226,-19.8765,3.679266,-4.426422,19.3404211,
16,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,23.1,36.3411,-0.114246012,0,0,-9.348288,22.562496,-6.71506022,1.1984,-3.6226,-19.8765,3.597705,-3.438708,20.58429877,
17,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,17.5,36.3411,-0.08500728,0,0,-9.348288,22.771584,-6.35576733,1.1984,-3.6226,-19.8765,3.596775,-7.666542,16.95315439,
18,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,20.2,36.3411,-0.087013764,0,0,-9.348288,20.7415296,-5.66703555,1.1984,-3.6226,-19.8765,2.687607,-6.109194,16.25800529,
19,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,18.2,36.3411,-0.07867672,0,0,-9.348288,21.7717632,-5.66703555,1.1984,-3.6226,-19.8765,3.635835,-5.894928,18.45906993,
20,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,13.6,36.3411,-0.135694036,0,0,-9.348288,21.174912,-5.66912533,1.1984,-3.6226,-19.8765,3.502101,-10.985052,12.57925363,
21,0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,19.6,36.3411,-0.092361136,0,0,-9.348288,22.676544,-5.98916021,1.1984,-3.6226,-19.8765,3.650529,-7.227558,17.71010565,
22,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,15.2,36.3411,-0.133599748,0,0,-9.348288,23.3494272,-5.93631863,1.1984,-3.6226,-19.8765,3.69117,-9.783072,15.87971882,
23,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,14.5,36.3411,-0.107145812,0,0,-9.348288,22.0987008,-6.11290504,1.1984,-3.6226,-19.8765,3.669222,-10.389288,13.85069595,
24,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,15.6,36.3411,-0.081328184,0,0,-9.348288,22.5206784,-6.56728292,1.1984,-3.6226,-19.8765,3.667269,-8.51838,15.7130683,
25,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,13.9,36.3411,-0.091114536,0,0,-9.348288,21.2851584,-6.64938142,1.1984,-3.6226,-19.8765,2.821806,-8.628126,13.43045444,
26,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,16.6,36.3411,-0.072835044,0,0,-9.348288,22.0987008,-6.9888214,1.1984,-3.6226,-19.8765,3.504984,-7.739706,15.49443436,
27,0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28,14.8,36.3411,-0.103605468,0,0,-9.348288,22.9882752,-6.64759018,1.1984,-3.6226,-19.8765,2.849334,-9.030528,14.74799755,
28,0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,18.4,36.3411,-0.083792116,0,0,-9.348288,24.691392,-6.64953069,1.1984,-3.6226,-19.8765,3.607842,-6.68928,19.56874319,
29,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,21,36.3411,-0.10866558,0,0,-9.348288,25.3718784,-6.3275553,1.1984,-3.6226,-19.8765,3.536139,-6.260748,20.90316052,
30,1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,12.7,36.3411,-0.122579804,0,0,-9.348288,21.7185408,-6.3185991,1.1984,-3.6226,-19.8765,3.349581,-11.81076,11.5082949,
31,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04,14.5,36.3411,-0.146851648,0,0,-9.348288,23.0833152,-6.2320225,1.1984,-3.6226,-19.8765,3.503589,-6.814704,18.08543805,
32,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2,36.3411,-0.150458116,0,0,-9.348288,22.61952,-5.955873,1.1984,-3.6226,-19.8765,2.16318,-14.481246,8.887234884,
33,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35,13.1,36.3411,-0.124846448,0,0,-9.348288,21.6729216,-5.65315344,1.1984,-3.6226,-19.8765,3.336561,-9.58971,14.33388471,
34,1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34,13.5,36.3411,-0.174829688,0,0,-9.348288,23.1745536,-5.61225346,1.1984,-3.6226,-19.8765,2.309283,-10.629684,13.75918145,
35,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,18.9,36.3411,-0.006956028,0,0,-8.670624,22.5548928,-5.01591981,1.498,-3.2922,-18.1728,3.69117,-5.058768,23.86789496,
36,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20,36.3411,-0.010562496,0,0,-8.670624,22.2051456,-5.04219133,1.498,-3.2922,-18.1728,3.511308,-5.962866,22.40430977,
37,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21,36.3411,-0.008687176,0,0,-8.670624,22.23936,-5.87258034,1.498,-3.2922,-18.1728,3.69117,-4.583202,23.16953648,
38,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7,36.3411,-0.01897542,0,0,-8.670624,22.6803456,-5.74286471,1.498,-3.2922,-18.1728,3.658899,-5.293938,22.98694247,
39,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8,36.3411,-0.002995092,3.435,0,-7.436928,25.071552,-8.06222197,0.8988,-2.9736,-17.32095,3.679359,-2.257632,31.37148394,
40,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,34.9,36.3411,-0.003641156,3.435,0,-7.436928,26.7024384,-8.06222197,0.8988,-2.9736,-17.32095,3.679266,-1.034748,34.22451527,
41,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,26.6,36.3411,-0.013814496,0,0,-7.784448,25.736832,-8.53958743,0.8988,-2.7494,-16.94235,3.584313,-2.529384,28.00206107,
42,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,25.3,36.3411,-0.0153386,0,0,-7.784448,23.4520704,-8.53958743,0.8988,-2.7494,-16.94235,3.565341,-3.036306,25.18988137,
43,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,24.7,36.3411,-0.017274624,0,0,-7.784448,23.6117376,-8.53958743,0.8988,-2.7494,-16.94235,3.668478,-3.888144,24.59891155,
44,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55,21.2,36.3411,-0.013299596,0,0,-7.784448,23.0719104,-8.53958743,0.8988,-2.7494,-16.94235,3.621327,-4.99083,22.91322237,
45,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,19.3,36.3411,-0.018581928,0,0,-7.784448,21.6006912,-7.61336708,0.8988,-2.7494,-16.94235,3.69117,-5.335746,22.08786819,
46,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,20,36.3411,-0.020418224,0,0,-7.784448,21.9960576,-7.61336708,0.8988,-2.7494,-16.94235,3.69117,-7.39479,20.4223543,
47,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6,36.3411,-0.024852868,0,0,-7.784448,22.923648,-8.49256738,0.8988,-2.7494,-16.94235,3.652482,-9.82488,17.99753175,
48,0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,14.4,36.3411,-0.027519508,0,0,-7.784448,20.5248384,-8.762149,0.8988,-2.7494,-16.94235,3.69117,-16.101306,9.088735892,
49,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2,19.4,36.3411,-0.023823068,0,0,-7.784448,21.2965632,-9.08710979,0.8988,-2.7494,-16.94235,3.69117,-8.46612,17.17438234,
50,0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7,36.3411,-0.009618332,0.9618,0,-7.628064,22.6689408,-10.17230269,1.1984,-2.8674,-15.9012,3.678708,-7.02897,21.24139378,
51,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43,20.5,36.3411,-0.004701308,0.9618,0,-7.628064,23.246784,-10.17230269,1.1984,-2.8674,-15.9012,3.663921,-4.928118,23.910219,
52,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25,36.3411,-0.00581024,0.9618,0,-7.628064,24.7522176,-10.17230269,1.1984,-2.8674,-15.9012,3.69117,-2.759328,27.61058267,
53,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23.4,36.3411,-0.005399404,0.9618,0,-7.628064,22.8019968,-10.17230269,1.1984,-2.8674,-15.9012,3.69117,-4.405518,24.01458271,
54,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,18.9,36.3411,-0.00147424,3.435,0,-7.12416,22.3838208,-10.92611619,0.8988,-5.5342,-19.97115,3.69117,-7.73448,15.45831037,
55,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.4,36.3411,-0.001421124,4.122,0,-7.002528,27.5577984,-12.98141482,1.498,-2.6668,-16.94235,3.682149,-2.513706,31.09282746,
56,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,24.7,36.3411,-0.00222762,3.893,0,-7.12416,24.2656128,-13.71433052,0.5992,-3.6934,-16.37445,3.69117,-3.015402,24.86611266,
57,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6,36.3411,-0.001552288,4.58,0,-7.141536,25.9117056,-12.42642896,1.498,-3.0208,-14.29215,3.65397,-2.06427,33.03803835,
58,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3,36.3411,-0.01674238,1.145,0,-7.871328,23.360832,-11.66515196,2.3968,-3.3512,-18.64605,3.633324,-3.585036,21.74154766,
59,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,19.6,36.3411,-0.011195552,1.145,0,-7.871328,22.5320832,-10.3473964,2.3968,-3.3512,-18.64605,3.69117,-4.818372,21.06061125,
60,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7,36.3411,-0.016186288,1.145,0,-7.871328,21.8249856,-10.78535458,2.3968,-3.3512,-18.64605,3.674523,-6.87219,17.84009973,
61,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16,36.3411,-0.018613364,1.145,0,-7.871328,22.6803456,-10.17797495,2.3968,-3.3512,-18.64605,3.516144,-7.546344,18.46787929,
62,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22.2,36.3411,-0.011953268,1.145,0,-7.871328,24.5431296,-10.78550385,2.3968,-3.3512,-18.64605,3.69117,-3.517098,23.93406648,
63,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,25,36.3411,-0.0137126,1.145,0,-7.871328,25.7064192,-11.91308943,2.3968,-3.3512,-18.64605,3.678894,-4.9647,22.50813317,
64,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33,36.3411,-0.002114884,0.8015,0,-7.2301536,27.0065664,-13.76702283,0.8988,-2.5488,-17.6049,3.657132,-4.20693,23.34517709,
65,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.5,36.3411,-0.003885056,3.664,0,-6.915648,23.912064,-9.86898605,1.1984,-3.9766,-15.23865,3.69117,-2.440542,30.36242289,
66,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,19.4,36.3411,-0.004746836,3.664,0,-6.915648,21.9998592,-9.86898605,1.1984,-3.9766,-15.23865,3.69117,-5.351424,25.53847431,
67,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22,36.3411,-0.006275276,0.5725,0,-7.106784,22.3458048,-9.6995646,1.1984,-4.071,-17.88885,3.684753,-4.23306,21.13702392,
68,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4,36.3411,-0.014692536,0.5725,0,-7.106784,21.2661504,-9.6995646,1.1984,-4.071,-17.88885,3.69117,-6.840834,17.44759526,
69,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79,20.9,36.3411,-0.013892544,0.5725,0,-7.106784,22.372416,-9.6995646,1.1984,-4.071,-17.88885,3.69117,-4.593654,20.80184086,
70,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2,36.3411,-0.009567384,0,0,-7.176288,24.3948672,-7.89235271,1.1984,-3.599,-18.1728,3.568689,-3.511872,25.14117611,
71,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7,36.3411,-0.017209584,0,0,-7.176288,22.6613376,-7.89235271,1.1984,-3.599,-18.1728,3.505542,-5.163288,21.68544131,
72,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8,36.3411,-0.009933776,0,0,-7.176288,23.056704,-7.89235271,1.1984,-3.599,-18.1728,3.635463,-2.884752,24.49654051,
73,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23.4,36.3411,-0.021180276,0,0,-7.176288,23.740992,-7.89235271,1.1984,-3.599,-18.1728,3.507681,-3.940404,23.98614801,
74,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78,24.1,36.3411,-0.008559264,0,0,-7.593312,23.8474368,-6.34621405,1.498,-4.6964,-17.69955,3.672756,-3.543228,25.47202949,
75,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94,21.4,36.3411,-0.010311008,0,0,-7.593312,23.8968576,-6.72103102,1.498,-4.6964,-17.69955,3.564039,-4.672044,23.90734857,
76,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20,36.3411,-0.011005852,0,0,-7.593312,23.8702464,-6.04871894,1.498,-4.6964,-17.69955,3.475038,-6.255522,22.87987561,
77,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,20.8,36.3411,-0.009438388,0,0,-7.593312,23.341824,-6.10588935,1.498,-4.6964,-17.69955,3.598728,-5.367102,23.30796026,
78,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2,36.3411,-0.006120264,0,0,-7.593312,23.6915712,-7.48454707,1.498,-4.6964,-17.69955,3.59352,-6.448884,21.19537787,
79,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.3,36.3411,-0.009091508,0,0,-7.593312,22.3305984,-6.72103102,1.498,-4.6964,-17.69955,3.683358,-4.75566,22.37801187,
80,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29,28,36.3411,-0.004458492,1.145,0,-7.402176,25.5733632,-8.06162489,1.1984,-3.3158,-17.9835,3.69117,-2.764554,28.41691982,
81,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22,23.9,36.3411,-0.004836808,1.145,0,-7.402176,25.1627904,-8.06162489,1.1984,-3.3158,-17.9835,3.679359,-3.773172,26.9855397,
82,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72,24.8,36.3411,-0.003966356,1.145,0,-7.402176,23.9576832,-8.06162489,1.1984,-3.3158,-17.9835,3.69117,-3.511872,26.05441395,
83,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51,22.9,36.3411,-0.003849284,1.145,0,-7.402176,23.4444672,-8.06162489,1.1984,-3.3158,-17.9835,3.632952,-3.924726,25.07024303,
84,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,23.9,36.3411,-0.005483956,0,0,-7.801824,24.2884224,-7.13421038,0.8988,-2.9146,-17.51025,3.69117,-5.027412,24.82571206,
85,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6,36.3411,-0.00621674,0,0,-7.801824,25.204608,-6.62415479,0.8988,-2.9146,-17.51025,3.64839,-3.412578,27.82327447,
86,0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5,36.3411,-0.005623792,0,0,-7.801824,22.866624,-6.60848144,0.8988,-2.9146,-17.51025,3.682707,-6.720636,22.22781577,
87,0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22.2,36.3411,-0.007751684,0,0,-7.801824,23.2695936,-5.59404252,0.8988,-2.9146,-17.51025,3.674895,-4.410744,25.9451764,
88,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,23.6,36.3411,-0.00613544,0,0,-8.496864,26.6378112,-5.10757159,0.5992,-3.186,-16.8477,3.69117,-2.8743,30.75071017,
89,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.7,36.3411,-0.005747368,0,0,-8.496864,26.9115264,-5.09682415,0.5992,-3.186,-16.8477,3.683358,-2.97882,30.92322888,
90,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6,36.3411,-0.005077456,0,0,-8.496864,24.3948672,-4.61587621,0.5992,-3.186,-16.8477,3.647274,-4.604106,27.22681753,
91,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22,36.3411,-0.004262288,0,0,-8.496864,24.349248,-4.61557767,0.5992,-3.186,-16.8477,3.660015,-4.28532,27.51383904,
92,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9,36.3411,-0.004556052,1.2824,0,-8.062464,24.4899072,-5.47208893,1.1984,-3.186,-17.2263,3.673593,-4.264416,28.76957522,
93,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25,36.3411,-0.0031165,1.2824,0,-8.062464,23.6117376,-5.47208893,1.1984,-3.186,-17.2263,3.685869,-3.245346,28.92419117,
94,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6,36.3411,-0.004654696,1.2824,0,-8.062464,23.7561984,-5.3961105,1.1984,-3.186,-17.2263,3.69117,-5.534334,26.8594052,
95,0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65,28.4,36.3411,-0.013229136,0,0,-7.73232,25.1856,-5.21728504,0.5992,-3.2568,-17.037,3.329214,-3.47529,28.72318982,
96,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,21.4,36.3411,-0.012470336,0,0,-7.73232,23.4292608,-5.21728504,0.5992,-3.2568,-17.037,3.644019,-5.926284,24.83142042,
97,0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21,38.7,36.3411,-0.013097972,0,0,-7.73232,30.6751104,-5.21728504,0.5992,-3.2568,-17.037,3.69117,-2.200146,35.84993139,
98,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,43.8,36.3411,-0.008874708,0,0,-7.73232,29.728512,-5.21728504,0.5992,-3.2568,-17.037,3.659829,-1.865682,35.21067925,
99,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19,33.2,36.3411,-0.00743624,0,0,-7.73232,28.1926656,-5.21728504,0.5992,-3.2568,-17.037,3.69117,-3.234894,32.33840032,
